cell_id,x,y,z,n_counts,n_genes,sample_id,annotation_level_1,annotation_level_1_corr,annotation_level_2,annotation_level_2_corr,annotation_level_3,annotation_level_3_corr,celltype_original,celltype_original_corr,cell_type,cell_type_corr
aaaabemk-1,821.9356901702128,7740.034566808511,15.309394446808511,235,80,10x,Non-neoplastic,0.057677731297033796,Myeloid,0.06973957237145222,Neutrophil,0.11507184292338202,Mono 1,0.13055463851423488,neutrophil,0.11507184292338202
aaaadadi-1,850.2453656870229,7791.834420992366,15.268232013358778,262,88,10x,Non-neoplastic,0.00766555764677959,Myeloid,0.020709224518738543,Plasma B,0.06124845267953918,Plasma B,0.06114025407539794,plasma cell,0.06124845267953918
aaaagndm-1,844.5977722,7788.091409,15.27994502,100,47,10x,Neoplastic,-0.017450928748160184,Vascular,-0.006233281089473902,Neuron,0.008976867074841112,Neuron,0.013311294401540387,neuron,0.008976867074841112
aaaagomg-1,853.874418677686,7775.059658402204,15.972138906336088,363,98,10x,Neoplastic,-0.03862605144888064,Lymphoid,-0.01314741269402995,Plasma B,0.1384811068823358,Plasma B,0.1615800915325522,plasma cell,0.1384811068823358
aaaahnbg-1,834.307125730337,7696.468764044944,16.648236713483143,89,51,10x,Neoplastic,0.03024873041758969,Glial-Neuronal,0.0680773470615047,Neuron,0.08253926665030108,Neoplastic-proneural,0.10121966576498566,neuron,0.08253926665030108
aaaaidbe-1,854.2003786181818,7842.592670545454,15.203199769090912,275,73,10x,Neoplastic,-0.014764716713060531,Vascular,0.01625324740196675,Mural cell,0.024967746365145697,Endothelial cells,0.022664569093748758,mural cell,0.024967746365145697
aaaakhca-1,858.9208403550297,7852.46215739645,14.81296053254438,338,85,10x,Non-neoplastic,-0.02606964209054425,Myeloid,-0.01821295733731502,B cell,0.04749314812141588,B cells,0.04903835015934642,B cell,0.04749314812141588
aaaakkbj-1,863.4309028478964,7844.828324919094,15.204575035598706,309,83,10x,Neoplastic,-0.02212290896941939,Lymphoid,0.014201765800985729,Mast,0.05751067749440948,Mast cells,0.06783159339837769,mast cell,0.05751067749440948
aaaalpfp-1,830.68481515625,7807.8871671875,15.563870845703125,256,83,10x,Neoplastic,-0.019992243172594775,Stem-like,-0.018134725627829612,Plasma B,0.018453674072532664,DC 3,0.06122126518430218,plasma cell,0.018453674072532664
aaabahkh-1,862.624266970803,7814.418462773722,14.834819523722627,274,90,10x,Non-neoplastic,0.03777575368383792,Myeloid,0.04862180660602778,Mast,0.07208128020771455,Mast cells,0.08343891044215444,mast cell,0.07208128020771455
aaabeafd-1,824.7553050375939,7813.338855639097,16.162630142857143,399,102,10x,Neoplastic,-0.02815556169393819,Lymphoid,-0.012156508868764833,Plasma B,0.03269561381975867,Microglia-like,0.03625412992238187,plasma cell,0.03269561381975867
aaabehln-1,831.1164504444444,8061.394670666667,16.887754626666666,225,68,10x,Neoplastic,0.0876656333025133,Differentiated-like,0.11980904212833718,Astrocyte,0.23424357566735363,Protoplasmic Astrocyte,0.23807936815199252,astrocyte,0.23424357566735363
aaabfncf-1,849.0428437552744,8058.895166666666,15.634575006329115,237,83,10x,Neoplastic,-0.027831730245852483,Stem-like,-0.018037413789847617,Neutrophil,0.08202095416409672,Neutrophils,0.08478680900022446,neutrophil,0.08202095416409672
aaabmkdm-1,842.7478775147928,8052.172231065088,15.808047763313612,338,115,10x,Neoplastic,0.0871484551105662,Stem-like,0.09816439189275028,OPC-like,0.10032762944582523,CGE iN,0.13566568644002724,malignant cell,0.0871484551105662
aaabnbfn-1,862.9669863137254,8086.139297254902,15.940607296078431,255,84,10x,Neoplastic,-0.06341402178075038,Lymphoid,-0.030881210777911026,CD4/CD8,-0.028073494840538202,Regulatory T cells,0.00063779438668581,mature T cell,-0.028073494840538202
aaabnkhc-1,857.6648333714286,8126.775726285714,16.165657157142856,175,76,10x,Non-neoplastic,0.08560132584021155,Lymphoid,0.12042301571052837,Mast,0.2499691279969338,Mast cells,0.2867266077062232,mast cell,0.2499691279969338
aaabnmcp-1,856.7277890980392,8299.551535294117,15.309099239215687,255,99,10x,Neoplastic,0.023691821235922048,Vascular,0.04530774590211407,Neutrophil,0.07382284724245995,Neutrophils,0.07072208208222433,neutrophil,0.07382284724245995
aaabohba-1,864.6148185858585,8131.978948484849,16.11947736868687,99,54,10x,Neoplastic,-0.019016800010612577,Vascular,-0.007128749535465725,Plasma B,-0.0013486573074448132,DC 3,0.10221720834949724,plasma cell,-0.0013486573074448132
aaabpgmo-1,867.8616601680671,8122.885296638656,17.36647460504202,119,50,10x,Non-neoplastic,-0.052611789595981756,Lymphoid,0.1292456394501271,CD4/CD8,0.13365221718807282,T cells 1,0.17207300329126,mature T cell,0.13365221718807282
aaacafff-1,815.4125271698114,8116.9297570754725,16.51206478537736,212,83,10x,Non-neoplastic,-0.01896521631329755,Lymphoid,0.026372106787279515,Neutrophil,0.04991738549294254,Neutrophils,0.05178034401664241,neutrophil,0.04991738549294254
aaacaiof-1,823.7361251980199,8138.697602475248,15.706794232673266,202,90,10x,Neoplastic,0.07913341675609759,Stem-like,0.0914994382032797,NPC-like,0.09416155064274831,CGE iN,0.1286575624590483,neuron,0.0889252940172881
aaacbojl-1,814.8332617573221,8159.664578242678,16.185075364016736,239,80,10x,Neoplastic,-0.06490026999545426,Lymphoid,-0.05665027301821495,RG,-0.0033882944548585476,CGE iN,0.013251173590847761,radial glial cell,-0.0033882944548585476
aaacdbol-1,835.4102522151899,8056.816142405063,15.889506481012658,158,60,10x,Neoplastic,0.02796758510398878,Stem-like,0.02910907624707479,Mast,0.06508267739624196,Mast cells,0.07743306503208154,mast cell,0.06508267739624196
aaacdmlc-1,829.4255296855346,7965.665825157233,16.02653225471698,159,61,10x,Neoplastic,-0.05305810234502727,Vascular,-0.03301083962744723,Plasma B,0.004614035895153115,Plasma B,0.012652415690499196,plasma cell,0.004614035895153115
aaacehlk-1,859.6966210493828,7980.143402469136,16.052329469135802,162,62,10x,Non-neoplastic,-0.031012748013729656,Vascular,-0.004573482467513732,Mural cell,0.0015902101926654017,Vascular,0.03896010961123752,mural cell,0.0015902101926654017
aaacfcel-1,835.1619924489796,7963.799367346939,16.26297524489796,98,58,10x,Non-neoplastic,-0.04760795497215954,Myeloid,-0.04074339274914843,Neutrophil,0.01114905292159089,NKT cells,0.1255329632953134,neutrophil,0.01114905292159089
